climb_slug,climb_name,country,region,side,category,length_km,elevation_gain_m,avg_grade_pct,max_grade_pct,summit_elevation_m,summit_lat,summit_lon,start_lat,start_lon,wikidata_id,cycletrip_url
puerto-de-el-portill-n,Puerto de El Portillón,ES,Cantabria,from Arenas de Iguña,3,9.4,396,4.2,11.5,570,43.21308,-3.98439,43.18809,-4.0489,Q2877332,https://cycletrip.pro/climbs/puerto-de-el-portill-n
puerto-de-el-portill-n,Puerto de El Portillón,ES,Cantabria,from San Vicente de Toranzo,2,6.5,406,6.3,9.6,570,43.21308,-3.98439,43.21259,-3.93952,Q2877332,https://cycletrip.pro/climbs/puerto-de-el-portill-n
colletta-delle-salse,Colletta delle Salse,IT,Liguria,from Ormea,2,6.7,413,6.2,15.3,1623,44.11242,7.72585,44.13709,7.74855,Q3683014,https://cycletrip.pro/climbs/colletta-delle-salse
colletta-delle-salse,Colletta delle Salse,IT,Liguria,from Valcona Secae,2,5.5,372,6.8,12.6,1623,44.11242,7.72585,44.09769,7.74781,Q3683014,https://cycletrip.pro/climbs/colletta-delle-salse
karabieta,Karabieta,ES,Basque Country,from Eibar,2,6.7,418,6.2,12.7,565,43.14822,-2.48021,43.18379,-2.47454,,https://cycletrip.pro/climbs/karabieta
col-de-la-croix-morand,Col de la Croix-Morand,FR,Massif Central,from Chambon-sur-Lac,2,10.3,512,5.0,12.1,1401,45.59708,2.85082,45.57549,2.91649,Q2982165,https://cycletrip.pro/climbs/col-de-la-croix-morand
col-de-la-croix-morand,Col de la Croix-Morand,FR,Massif Central,from Mont-Dore,3,7.3,375,5.1,7.8,1401,45.59708,2.85082,45.57594,2.80663,Q2982165,https://cycletrip.pro/climbs/col-de-la-croix-morand
port-de-la-vall-debo,Port de la Vall d'Ebo,ES,Costa Blanca,from la Vall d'Ebo,3,3.3,162,4.9,9.1,540,38.81572,-0.13023,38.80836,-0.15645,,https://cycletrip.pro/climbs/port-de-la-vall-debo
port-de-la-vall-debo,Port de la Vall d'Ebo,ES,Costa Blanca,from Pego,2,8.2,458,5.6,13.0,540,38.81572,-0.13023,38.83239,-0.10568,,https://cycletrip.pro/climbs/port-de-la-vall-debo
portella-piano-verde,Portella Piano Verde,IT,Sicily,from Salice,2,7.1,428,6.0,13.2,902,38.1699,15.46652,38.21565,15.50635,,https://cycletrip.pro/climbs/portella-piano-verde
croce-serra,Croce Serra,IT,Piedmont,from Borgofranco d'Ivrea,2,11.5,538,4.7,11.8,854,45.53015,7.89023,45.51589,7.8622,,https://cycletrip.pro/climbs/croce-serra
croce-serra,Croce Serra,IT,Piedmont,from Netro,3,8.5,283,3.3,8.9,854,45.53015,7.89023,45.54518,7.95844,,https://cycletrip.pro/climbs/croce-serra
coll-de-la-creu-de-perv-s,Coll de la Creu de Pervés,ES,Southern Pyrenees,from Conca de Dalt,2,16.7,659,3.9,12.6,1334,42.35779,0.84215,42.29574,0.93575,Q11914551,https://cycletrip.pro/climbs/coll-de-la-creu-de-perv-s
coll-de-la-creu-de-perv-s,Coll de la Creu de Pervés,ES,Southern Pyrenees,from el Pont de Suert,3,13.0,504,3.9,13.0,1334,42.35779,0.84215,42.39082,0.74581,Q11914551,https://cycletrip.pro/climbs/coll-de-la-creu-de-perv-s
col-de-grimone,Col de Grimone,FR,,from Aix-en-Diois,2,30.2,877,2.9,15.2,1318,44.69145,5.65399,44.70776,5.40155,Q1107332,https://cycletrip.pro/climbs/col-de-grimone
col-de-grimone,Col de Grimone,FR,,from Lus-la-Croix-Haute,3,4.1,248,6.1,11.5,1318,44.69145,5.65399,44.6972,5.68272,Q1107332,https://cycletrip.pro/climbs/col-de-grimone
passo-eira,Passo Eira,IT,Lombardy,from Livigno,2,6.2,394,6.4,8.2,2208,46.53832,10.16642,46.53711,10.14129,Q1632095,https://cycletrip.pro/climbs/passo-eira
passo-eira,Passo Eira,IT,Lombardy,from Trepalle,3,2.8,191,6.9,10.5,2208,46.53832,10.16642,46.51644,10.17952,Q1632095,https://cycletrip.pro/climbs/passo-eira
portella-della-trovatura,Portella della Trovatura,IT,Sicily,from Lipari,2,6.2,393,6.4,12.4,416,38.38017,14.98791,38.36984,14.99394,,https://cycletrip.pro/climbs/portella-della-trovatura
portella-della-trovatura,Portella della Trovatura,IT,Sicily,from Vulcano Porto,2,7.9,418,5.3,11.2,416,38.38017,14.98791,38.41771,14.95804,,https://cycletrip.pro/climbs/portella-della-trovatura
przelecz-redzinki,Przełęcz Rędzinki,PL,Sudety,from Ciechanowice,2,6.0,391,6.5,14.9,800,50.82879,15.93853,50.85319,15.99833,,https://cycletrip.pro/climbs/przelecz-redzinki
przelecz-redzinki,Przełęcz Rędzinki,PL,Sudety,from Pisarzowice,3,6.5,309,4.8,12.4,800,50.82879,15.93853,50.77992,15.96517,,https://cycletrip.pro/climbs/przelecz-redzinki
coll-de-toralla,Coll de Toralla,ES,Southern Pyrenees,from la Pobla de Segur,2,5.3,365,6.9,14.3,944,42.26443,0.92015,42.25948,0.94986,Q17598231,https://cycletrip.pro/climbs/coll-de-toralla
colle-gallo,Colle Gallo,IT,Lombardy,from Casazza,2,7.5,435,5.8,12.0,754,45.75347,9.87387,45.73978,9.90668,Q3682734,https://cycletrip.pro/climbs/colle-gallo
colle-gallo,Colle Gallo,IT,Lombardy,from Vall'Alta,3,7.9,397,5.0,10.3,754,45.75347,9.87387,45.75778,9.82306,Q3682734,https://cycletrip.pro/climbs/colle-gallo
col-de-valorse,Col de Valorse,FR,Jura,from Haut Valromey,2,5.0,356,7.1,11.2,1099,45.99952,5.63843,45.99556,5.66163,Q137765876,https://cycletrip.pro/climbs/col-de-valorse
port-de-sa-creueta,Port de Sa Creueta,ES,Costa Blanca,from Alcalalí,3,23.3,558,2.4,10.7,780,38.71812,-0.14929,38.74802,-0.04629,,https://cycletrip.pro/climbs/port-de-sa-creueta
port-de-sa-creueta,Port de Sa Creueta,ES,Costa Blanca,from Bolulla,2,14.9,605,4.1,12.0,780,38.71812,-0.14929,38.66356,-0.10605,,https://cycletrip.pro/climbs/port-de-sa-creueta
monte-pana,Monte Pana,IT,Dolomites,from Santa Cristina Gherdëina - St. Christina in Gröden - Santa Cristina Valgardena,2,2.4,244,10.2,14.2,1619,46.55144,11.71758,46.55806,11.71716,,https://cycletrip.pro/climbs/monte-pana
rownica,Równica,PL,Beskidy,from Jaszowiec,2,5.9,382,6.5,13.6,880,49.7197,18.8522,49.69406,18.8312,,https://cycletrip.pro/climbs/rownica
col-du-chat,Col du Chat,FR,French Alps,from Bourdeau,2,4.1,312,7.6,11.9,638,45.69273,5.84745,45.67653,5.8523,Q2982251,https://cycletrip.pro/climbs/col-du-chat
col-du-chat,Col du Chat,FR,French Alps,from Saint-Jean-de-Chevelu,2,4.2,321,7.7,10.8,638,45.69273,5.84745,45.6892,5.81952,Q2982251,https://cycletrip.pro/climbs/col-du-chat
mont-poupet,Mont Poupet,FR,Jura,from Saint-Thiébaud,2,4.2,323,7.7,15.7,,46.97116,5.88598,46.96838,5.90401,,https://cycletrip.pro/climbs/mont-poupet
el-coll-de-la-garga,el Coll de la Garga,ES,Costa Blanca,from Castell de Castells,2,5.7,375,6.6,12.9,762,38.76843,-0.15157,38.75112,-0.15698,,https://cycletrip.pro/climbs/el-coll-de-la-garga
el-coll-de-la-garga,el Coll de la Garga,ES,Costa Blanca,from Fleix,3,3.0,237,7.9,10.5,762,38.76843,-0.15157,38.77317,-0.12556,,https://cycletrip.pro/climbs/el-coll-de-la-garga
col-amic,Col Amic,FR,Vosges,from Willer-sur-Thur,2,9.0,454,5.0,10.4,828,47.87549,7.12735,47.84443,7.07339,Q2981945,https://cycletrip.pro/climbs/col-amic
col-amic,Col Amic,FR,Vosges,from Wuenheim,2,11.2,531,4.7,13.2,828,47.87549,7.12735,47.87996,7.21272,Q2981945,https://cycletrip.pro/climbs/col-amic
col-du-pillon,Col du Pillon,IT,,from Le Sépey,2,11.2,529,4.7,12.5,1546,46.35343,7.2046,46.36064,7.07543,Q475548,https://cycletrip.pro/climbs/col-du-pillon
col-du-pillon,Col du Pillon,IT,,from Saanen,3,12.9,475,3.7,10.5,1546,46.35343,7.2046,46.43701,7.27287,Q475548,https://cycletrip.pro/climbs/col-du-pillon
passo-del-brallo,Passo del Brallo,IT,Lombardy,from Brallo di Pregola,2,12.2,549,4.5,9.9,951,44.73835,9.28088,44.68895,9.30529,Q3897356,https://cycletrip.pro/climbs/passo-del-brallo
passo-del-brallo,Passo del Brallo,IT,Lombardy,from Varzi,3,15.4,494,3.2,7.1,951,44.73835,9.28088,44.81571,9.21395,Q3897356,https://cycletrip.pro/climbs/passo-del-brallo
col-bayard,Col Bayard,FR,French Alps,from Gap,2,6.0,385,6.4,12.5,1246,44.61382,6.08114,44.57682,6.07409,Q1632966,https://cycletrip.pro/climbs/col-bayard
col-bayard,Col Bayard,FR,French Alps,from La Fare-en-Champsaur,3,7.0,275,3.9,10.7,1246,44.61382,6.08114,44.67364,6.07364,Q1632966,https://cycletrip.pro/climbs/col-bayard
puerto-de-malangosto,Puerto de Malangosto,ES,Sierra de Guadarrama,from Basardilla,2,6.0,381,6.4,16.1,1928,40.95653,-3.90445,40.9684,-3.96182,Q23995473,https://cycletrip.pro/climbs/puerto-de-malangosto
baratzar,Baratzar,ES,Basque Country,from Zeanuri,2,8.1,443,5.5,10.7,605,43.06593,-2.71181,43.10669,-2.75416,,https://cycletrip.pro/climbs/baratzar
col-du-bel-homme,Col du Bel Homme,FR,Provence,from Bargemon,2,7.8,437,5.6,9.6,915,43.63988,6.56879,43.62164,6.55261,,https://cycletrip.pro/climbs/col-du-bel-homme
puerto-de-la-fuenfr-a,Puerto de la Fuenfría,ES,Sierra de Guadarrama,from Cercedilla,3,10.1,449,4.4,11.3,1796,40.79222,-4.05985,40.76183,-4.07125,Q6092315,https://cycletrip.pro/climbs/puerto-de-la-fuenfr-a
puerto-de-la-fuenfr-a,Puerto de la Fuenfría,ES,Sierra de Guadarrama,from Valsaín,2,13.8,578,4.2,11.6,1796,40.79222,-4.05985,40.88107,-4.02881,Q6092315,https://cycletrip.pro/climbs/puerto-de-la-fuenfr-a
alto-de-la-comella,Alto de La Comella,AD,Andorra,from Andorra la Vella,2,3.9,307,7.9,16.8,1306,42.50044,1.52986,42.5038,1.51939,,https://cycletrip.pro/climbs/alto-de-la-comella
